datasetKey	searchQuery	publisherKey	title	publisher	datasetCategory
9f99cb9b-236c-49e3-a7a1-6bc23bc4e951	percentNN_0.5124_countNN_103_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Perdrix rouge 2006 - 2010 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
9f99cb9b-236c-49e3-a7a1-6bc23bc4e951	percentNN_0.5075_countNN_102_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Perdrix rouge 2006 - 2010 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
353cabdf-17f8-4e47-9656-47f333d7704c	percentNN_0.8096_countNN_710_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme FLASH - Programme  FLASH  : Répartition  Grive litorne 2012 - 2016 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
353cabdf-17f8-4e47-9656-47f333d7704c	percentNN_0.8107_countNN_711_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme FLASH - Programme  FLASH  : Répartition  Grive litorne 2012 - 2016 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
771d6bb0-0b97-4aee-9d76-48cc83f6360c	percentNN_0.8_countNN_584_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Alouette des champs 2006 - 2010 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
771d6bb0-0b97-4aee-9d76-48cc83f6360c	percentNN_0.8_countNN_584_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Alouette des champs 2006 - 2010 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
f2e0d85b-8f0e-4045-b97e-66e5a837696c	percentNN_0.7329_countNN_365_distanceNN_0.09	NA	CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de Monsieur François FOURNIER	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
f2e0d85b-8f0e-4045-b97e-66e5a837696c	percentNN_0.7329_countNN_365_distanceNN_0.09	NA	CardObs : Observations naturalistes issues de l'outil CardObs-Données naturalistes de Monsieur François FOURNIER	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
45465090-7ad9-4874-94af-9aecd16c06ac	percentNN_0.766_countNN_108_distanceNN_0.09	NA	Regroupement d'études et d'inventaires-Données odonates collectées par le CEN Aquitaine entre 1995 et 2015	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
7536c922-e591-4bab-ae06-cb7753b170b0	percentNN_0.8299_countNN_122_distanceNN_0.09	NA	Données collectées dans le cadre d'études et d'activités de recherche-Données faune de Luc BARBARO	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
7536c922-e591-4bab-ae06-cb7753b170b0	percentNN_0.8429_countNN_118_distanceNN_0.09	NA	Données collectées dans le cadre d'études et d'activités de recherche-Données faune de Luc BARBARO	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
45043b88-1ebd-4d62-9fd9-61c808edc832	percentNN_0.7238_countNN_76_distanceNN_0.09	NA	Extraction de données Rhopalocères pour la liste rouge régionale d'Aquitaine.-Données de présence collectées sur les rhopalocères	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
45043b88-1ebd-4d62-9fd9-61c808edc832	percentNN_0.7238_countNN_76_distanceNN_0.09	NA	Extraction de données Rhopalocères pour la liste rouge régionale d'Aquitaine.-Données de présence collectées sur les rhopalocères	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
fb69e2bf-dfd0-460f-8709-7f4a3feadf07	percentNN_0.6817_countNN_272_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Caille des blés 1998 - 2002 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
fb69e2bf-dfd0-460f-8709-7f4a3feadf07	percentNN_0.6717_countNN_268_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Caille des blés 1998 - 2002 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
5905769a-49d8-4d49-8fb5-375a4a270ba7	percentNN_0.8462_countNN_44_distanceNN_0.09	NA	Données d'amphibiens et reptiles	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
5905769a-49d8-4d49-8fb5-375a4a270ba7	percentNN_0.8462_countNN_44_distanceNN_0.09	NA	Données d'amphibiens et reptiles	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
e4ec56ab-850f-42ac-a5f0-232802f0f1e6	percentNN_0.55_countNN_88_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive littorne 2001 - 2005 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
e4ec56ab-850f-42ac-a5f0-232802f0f1e6	percentNN_0.5375_countNN_86_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive littorne 2001 - 2005 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
7fc2cc5f-91a9-4182-977e-8d5d542070bf	percentNN_0.8249_countNN_716_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive musicienne 2005 - 2009 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
7fc2cc5f-91a9-4182-977e-8d5d542070bf	percentNN_0.826_countNN_717_distanceNN_0.18	NA	Suivi des oiseaux de passage : programme ACT - Programme ACT : Répartition Grive musicienne 2005 - 2009 Coordonnées GPS Lambert 93	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
e6c891bc-f7fa-48f0-9e6d-aa8364097f52	percentNN_0.7627_countNN_45_distanceNN_0.09	NA	Regroupement d'études et inventaires-Regroupement de données Odonates	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	Gridded
